Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
CFHR1,3078,5.353452,5.311141,5.385474,5.472058,5.358945,5.403147,5.377306,5.326887,5.538879,5.072724,5.237999,5.407161,5.603618,5.372966,5.69894,5.626962,5.352782,5.353615,5.809748,5.084332,5.603014,5.808884,6.139399,6.339687,5.031195,5.920801,4.79927,5.159361,5.613881,4.749745,5.371375
CFHR2,3080,4.622909,4.723856,4.308396,4.383794,4.591034,4.708272,4.599678,4.835331,4.733427,4.636288,5.280529,4.664665,4.752345,4.689001,4.740507,4.897889,4.717426,4.707867,4.883717,4.733427,4.724334,4.492738,4.987694,4.885829,4.762397,4.871379,4.764305,4.656232,4.85362,4.977457,4.585292
CFHR4,10877,4.604363,4.683287,4.749047,4.377365,4.709588,4.545766,4.434355,4.906183,4.705227,4.906726,5.241007,4.574689,4.722527,4.426187,4.72107,4.764124,5.159302,4.709163,4.657332,4.764124,4.419366,4.548824,4.696352,4.902228,4.849002,4.579081,5.461792,4.753317,4.946028,5.23722,4.627901
CFHR5,81494,3.733486,3.686264,3.508576,3.584163,3.658781,3.739656,3.623357,3.817019,3.734132,3.658392,4.020831,3.598075,3.747195,3.602324,3.645653,3.614232,4.016405,3.741462,3.953784,3.828094,3.680732,3.636773,3.61483,3.694154,3.822283,3.534214,4.201822,3.716202,3.811291,3.842636,3.476393
CFI,3426,6.652872,5.866349,5.908926,5.987075,6.654593,6.016538,6.214596,6.178343,6.426999,5.948914,6.261528,6.132351,6.900619,6.323069,6.379295,6.189765,6.476727,6.409209,6.22433,5.809205,6.523036,7.049765,6.323069,6.479705,6.142608,6.414568,6.472226,6.644275,6.478561,6.441325,6.218734
CFL1,1072,12.90301272,12.99955953,12.81700117,12.86738114,12.86061893,12.80391316,12.9225078,12.67440663,12.69760826,12.51477143,12.62695582,12.93025811,12.86703568,12.78068817,12.73660388,12.87565284,12.73125683,13.04741579,12.60855476,12.87235134,12.73660388,12.55225318,12.5971207,12.65050464,12.53623506,12.44365924,12.35833722,12.75230824,12.46567842,12.52658764,12.84638396
CFLAR,8837,6.197316455,5.703192273,5.709883636,6.071972909,6.184336364,6.116092727,5.908367,6.107943182,6.021599091,5.904198091,6.388364818,6.000211636,6.084984091,6.100507636,6.291040455,6.238214091,6.136472636,5.921756636,6.284370182,6.000741091,6.048723455,6.009211,6.213099091,6.455563364,6.014610727,6.163785909,6.271738455,6.041331636,6.359592455,6.193049,6.079691273
CFP,5199,5.832793,5.795013,6.041767,5.398739,5.943781,5.742252,5.755325,6.110568,6.051689,5.990705,6.655253,5.820843,5.708846,5.833744,5.805557,5.907962,6.257355,5.94524,5.978093,6.156509,5.743785,5.601263,5.647523,5.978301,5.672026,5.979893,6.566092,5.677013,6.351459,5.997508,5.859339
CFTR,1080,4.390465,4.42751325,4.49280775,4.23924525,4.39342775,4.3934035,4.3890225,4.59334225,4.5151875,4.53774475,4.7694065,4.34274925,4.40164975,4.48245575,4.3509785,4.434826,4.5515675,4.4555325,4.53264525,4.401522,4.42556525,4.30412575,4.43537975,4.543931,4.65010925,4.2878535,4.8402205,4.53626575,4.61990575,4.5277565,4.3780765
CGA,1081,6.847141,6.494937,6.595988,6.279235,6.785741,6.639959,6.686709,7.009881,6.734569,6.677184,7.531443,6.456792,6.866703,6.637246,6.633657,7.18933,6.980691,6.65592,6.458876,6.768006,6.646045,6.554258,6.653337,6.858576,6.951041,6.514274,7.363311,6.762762,6.973548,7.281047,6.586022
